chouti0004,http://news.163.com/special/00011K6L/rss_newstop.xml,网易头条新闻
chouti0007,http://rss.sina.com.cn/news/allnews/sports.xml,新浪体育头条
chouti0008,http://blog.sina.com.cn/rss/twocold.xml,韩寒
chouti0034,http://www.kaieconblog.net/feed/,郭凯经济笔记
chouti0035,http://blog.sina.com.cn/rss/sasu.xml,萨苏书场
chouti0038,http://hi.baidu.com/cwyalpha/rss,Alpha
chouti0040,http://blog.sina.com.cn/rss/1571974952.xml,《人物画报》博客
chouti0047,http://blog.sina.com.cn/rss/1189591617.xml,李承鹏
chouti0056,http://rss.sina.com.cn/ent/star/focus7.xml,明星全接触
chouti0067,http://news.163.com/special/00011K6L/rss_war.xml,网易军事新闻
chouti0073,"http://blog.ifeng.com/rss/1218514.xml",十年砍柴的凤凰博客
chouti0083,http://blog.sina.com.cn/rss/shangjin.xml,扯谈的乐趣
chouti0089,http://blog.sina.com.cn/rss/rmb.xml,马克西姆
chouti0095,http://blog.sina.com.cn/rss/1198251274.xml,洪晃找乐
chouti0096,http://blog.sina.com.cn/rss/1173360372.xml,薛涌
chouti0097,http://feed.feedsky.com/d9vp,薛兆丰
chouti0099,http://blog.sina.com.cn/rss/1214686260.xml,潘采夫
chouti0100,http://blog.sina.com.cn/rss/liaowangdongfangzhoukan.xml,_望东方周刊
chouti0101,http://blog.sina.com.cn/rss/1182391231.xml,潘石屹
chouti0103,http://blog.sina.com.cn/rss/1094627834.xml,谭飞
chouti0104,http://blog.sina.com.cn/rss/1198503091.xml,程青松
chouti0106,http://blog.sina.com.cn/rss/1228977142.xml,"医生哥 波子"
chouti0107,http://rss.sina.com.cn/blog/index/enjoy.xml,新浪博客生活类精选
chouti0108,http://rss.sina.com.cn/blog/index/feel.xml,新浪博客情感类精选
chouti0109,http://rss.sina.com.cn/blog/index/finance.xml,新浪博客财经类精选
chouti0139,http://blog.163.com/wangdingdingblog/rss,汪丁丁
chouti0063,http://firecacada.blog.163.com/rss/,纯银的博客
shejipi,http://www.shejipi.com/feed/,设计癖
wuliaoo,http://www.wuliaoo.com/feed/,无聊哦
dajiangyou,http://feed.feedsky.com/dajiangyou,打酱油娱乐网
